Frecuency_Aportes;Frecuency_Rescates;Monetary_Aportes;Monetary_Rescates;Recency_Aportes;Recency_Rescates;Perfil_Movimientos;Perfil_Cliente;Sexo;Estado_Civil;Ingeniero;Region_Metropolitana;Porcentaje_Promedio;Edad;Antiguedad;Accionario;Corto;Rentsem;Rentmen;EEUU;Nacional;FugaBajaS;FugaBajaM;RescateBajaSem;RescateBajaMes;FugaCategorica;FugaNumerica;CLV;
0,104651163;0,03125;0,59428548;0,644148464;0,588877221;0,618417955;0,65625;0,5;0;0;1;0;0,237802753;0,193778065;0,287600189;0,333333333;0,125;0,510414752;0,500657718;0;0,375;0;0;0,666666667;0,666666667;N;0;982,0137837;1,340188557
0,127906977;0,072916667;0,789772476;0,793556777;0,69981279;0,381039513;0,4;0,5;0;0;0;1;0,065880392;0,133905093;0,41961339;0;0,2;0,378895406;0,461443083;0;1;0;0;0;0;F;1;53818,99744;73,44866814
0,046511628;0;0,628423244;0;0,949969768;1;0,5;0,5;0;1;1;1;0;0,397952992;0,288071664;0,3125;0,4375;0,495024192;0,590726776;0,125;0,4375;0;0;0;0;N;0;4064,878961;5,547482488
0,151162791;0,041666667;0,717250872;0,320192233;0,105451258;0,908007032;0,411764706;0,5;0;0;0;1;0,000585705;0,15465836;0,298915606;0;0,352941176;0,40007356;0,46713075;0;0,588235294;0;0;0,5;0,25;N;0;60952,86001;83,18449991
0,069767442;0,03125;0,832086045;0,840795978;0,758036853;0,369878256;0,75;0,5;0;0;0;1;0,253206121;0,260609248;0,287600189;0,555555556;0;0,44199423;0,630514118;0,222222222;0,444444444;0,333333333;0,333333333;0,333333333;0,333333333;F;1;81214,18822;110,8358432
0,337209302;0,041666667;0,641624494;0,628096424;0;0,729971125;0,363636364;0,5;1;0;0;1;0,023284073;0,158946559;0,286657237;0,121212121;0,181818182;0,390796705;0,495121584;0;0,666666667;0;0;0,25;0,25;N;0;32848,04299;44,82887314
0,569767442;1;0,789994593;0,748974129;0,482098415;0,059387069;0,127516779;0,5;0;0;1;1;0,044369161;0,121525952;0,286657237;0;0,503355705;0,374002032;0,449243864;0;0,986577181;0,020833333;0,020833333;0,041666667;0,020833333;F;1;3453,541489;4,713168859
0,011627907;0;0,588165818;0;0,946488523;1;0,357142857;0,25;0;1;0;1;0;0,400703912;0,286657237;0;0,428571429;0,396780331;0,466156634;0;0,428571429;0;0;0;0;N;0;502,0532004;0,685169562
0,139534884;0,020833333;0,735629538;0,720283651;0,747263992;0,369878256;0,592105263;1;0;1;1;1;0,031754262;0,509729358;0,286657237;0,157894737;0,157894737;0,393871839;0,524038839;0,052631579;0,368421053;0;0;0;0;N;0;67015,40342;91,45826493
0,011627907;0;0,575206028;0;0,946488523;1;1;0,5;1;0;0;1;0;0,195032161;0,286185761;1;0;0,877475297;0,999518557;0;0;0;0;0;0;N;0;406,4878961;0,554748249
0,081395349;0,03125;0,582960921;0,574721694;0,743544379;0,667216396;0,85;0,5;0;0;0;1;0,097972686;0,059225697;0,284771334;0,5;0;0,499651099;0,351246767;0;0,6;0;0;0,666666667;0,333333333;N;0;2014,919852;2,749831594
0,023255814;0,010416667;0,639012444;0,574377921;0,861731225;0,86278715;0,307692308;1;0;0;1;0;0,471589731;0,13714147;0,293729373;0,307692308;0,692307692;0,404725726;0,342711559;0,076923077;0,846153846;0;0;0;0;N;0;2029,045306;2,769109096
0,069767442;0,010416667;0,640604088;0,707325046;0,625186856;0,917917718;0;0,25;1;1;0;0;0,359757358;0,28621708;0,564356436;0;1;0,359385427;0,433360649;0;1;0;0;0;0;F;1;3455,147117;4,715360115
0,011627907;0;0,628423244;0;0,945785173;1;0,571428571;0,25;0;0;0;1;0;0,194870343;0,541725601;0,285714286;0,285714286;0,495579491;0,614424483;0;0,428571429;0;0;0;0;N;0;1016,21974;1,386870622
0,011627907;0;0,628423244;0;0,945785173;1;0;0,5;0;0;0;1;0;0,138031474;0,284299859;0;1;0,359385427;0,433360649;0;1;0;0;0;0;N;0;1016,21974;1,386870622
0,011627907;0;0,628423244;0;0,945079418;1;1;0,5;0;1;0;0;0;0,185525304;0,284299859;1;0;0,762403456;0,191727719;0;1;0;0;0;0;N;0;1016,21974;1,386870622
0,023255814;0;0,598754824;0;0,945079418;1;0,5;0,5;0;1;1;1;0;0,244103726;0,284299859;0;0;0,438222723;0,534235734;0;0,5;0;0;0;0;N;0;1219,463688;1,664244746
0,081395349;0;0,699986537;0;0,752720689;1;0,572580645;0,5;0;0;1;0;0;0,295440754;0,283828383;0,258064516;0,225806452;0,488638798;0,551556333;0;0,290322581;0;0;0;0;F;1;24389,27376;33,28489493
